filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Screenshot 2025-04-28 211436_0_0.png,0.26977274,3.2623342e-05,0.0,0.08307797,0.1837011,0.0008141873,1.0563957e-05,0.1139448,0.00016709475,0.09073975,0.0018236716,0.00023592389,0.0,0.008281116,0.17061284,0.0,0.3171826,0.024003208,3.558118e-05,7.626126e-05,4.928204e-05,0.11841671,0.017480403,0.002464631,0.016514217,0.0028406964,0.21402481,0.031997923,0.032649808,0.11150651,0.10362234,0.028581304,0.045739405,0.07090712,0.0034043537,0.2763816,9.488205e-06,0.052700747,0.00063947804,0.08549351,0.0,0.21321222,0.0010295323,0.010302872,0.00034953826,0.055085666,5.485284e-06,0.03265144,0.3021435,0.016854586,0.0040728394,0.117433056,0.016197985,0.14046913,0.0020569577,0.00012470651,0.0036002225,0.0006697942,0.0008786393,0.006749857,0.008845745,0.010611031,0.0072697694,0.018384986
Screenshot 2025-04-28 211436_1_0.png,0.2978484,1.3915491e-05,0.0,0.08568258,0.19632809,0.0012221859,1.7378434e-05,0.12679113,0.00024320866,0.09784804,0.0019550042,8.0085054e-05,0.0,0.006726271,0.18271238,0.0,0.33379653,0.015944205,3.2920885e-05,0.0001602235,2.4332281e-05,0.13974945,0.016768623,0.00282796,0.021034297,0.003703598,0.22427762,0.031349495,0.038832955,0.12346886,0.10578275,0.032278858,0.049887966,0.08276921,0.0018659797,0.29274285,2.930668e-05,0.055502374,0.0006588723,0.10422749,0.0,0.23255776,0.001269826,0.009642963,4.3719177e-05,0.051381264,1.33051235e-05,0.031223342,0.3380202,0.023974217,0.0041483366,0.13611133,0.020825982,0.16546808,0.0033047595,0.00020647925,0.0039297957,0.0018185232,0.00043483195,0.00800712,0.010400554,0.01346532,0.008014714,0.013966357
Screenshot 2025-04-28 211436_2_0.png,0.27405164,0.0,0.0,0.08197138,0.18251288,0.00090005103,1.4916535e-05,0.115176804,4.2742886e-05,0.08906755,0.0025587033,0.00046280923,0.0,0.005923223,0.17225896,0.0,0.31832474,0.022044305,1.7413466e-05,5.4288334e-06,4.758488e-05,0.12418114,0.016165243,0.0024928786,0.015881272,0.002193934,0.21155132,0.03293012,0.03281387,0.11402698,0.10440378,0.02937469,0.04485892,0.07372065,0.004911011,0.27752605,3.834416e-05,0.05112624,0.0006802853,0.08926192,0.0,0.21561593,0.00084516814,0.007603741,0.0013415533,0.052592356,5.63103e-06,0.033625126,0.30468744,0.016202126,0.0040295306,0.120175295,0.018449469,0.14572173,0.0018405704,0.00016676463,0.0033811687,0.000579485,0.0006202721,0.0055250362,0.00783133,0.009720954,0.007971011,0.015906587
Screenshot 2025-04-28 211436_3_0.png,0.28480226,0.0,0.0,0.082710385,0.1859941,0.0009093833,4.9092428e-06,0.120307654,4.014212e-05,0.09183725,0.0017701702,0.00012705952,0.0,0.0053787963,0.1789393,0.0,0.3252024,0.019926053,1.4324159e-05,1.2870102e-05,4.894694e-05,0.13155732,0.01322438,0.0025094303,0.01727764,0.0023052176,0.21453589,0.03179995,0.036393903,0.11972576,0.10548793,0.030840702,0.04668964,0.07780699,0.0043603517,0.2829566,8.324521e-06,0.052299228,0.00068701385,0.09910017,0.0,0.22415756,0.00096215337,0.0072037005,0.00069714745,0.05312772,1.8652321e-05,0.031014388,0.32217956,0.016688647,0.004240601,0.1289065,0.020818226,0.15600348,0.0022646186,0.00017405121,0.003543059,0.0006321633,0.00054930645,0.0060117166,0.0073430403,0.011072432,0.007031543,0.013544221
Screenshot 2025-04-28 211436_4_0.png,0.26709467,3.621602e-05,0.0,0.08347214,0.18424878,0.00085043337,9.69284e-06,0.11309405,0.00013733112,0.0902378,0.0017338773,0.0001517121,0.0,0.008911488,0.1684695,0.0,0.31580946,0.02391645,1.1319406e-05,1.6300515e-05,5.2034848e-05,0.114418395,0.018744148,0.0027538675,0.016389374,0.0027535819,0.21372984,0.03114911,0.031876523,0.10982278,0.10377556,0.029147338,0.04607716,0.07009155,0.0044643935,0.2750304,3.9690863e-06,0.05333282,0.0006572326,0.08586871,0.0,0.2128714,0.0022016342,0.01093889,0.00014717125,0.055427548,0.0,0.032583605,0.3006551,0.018713577,0.0041396036,0.1148149,0.015154978,0.13841686,0.0026495517,9.4110466e-05,0.0043499595,0.0013569049,0.0007827557,0.008653158,0.009101225,0.01097355,0.00713111,0.020271387
Screenshot 2025-04-28 211458_0_0.png,0.28856197,3.4232796e-06,0.0,0.08549252,0.19091468,0.001148921,8.036653e-06,0.12246095,0.00037011623,0.0964994,0.0019663926,0.00014893406,0.0,0.007222477,0.18010345,0.0,0.32969522,0.019510038,2.7846378e-05,0.00022541307,5.2112213e-05,0.13485767,0.01604209,0.0029685805,0.01980392,0.0034393116,0.22226314,0.030378634,0.037006494,0.12051918,0.105176315,0.030176394,0.048064798,0.07895261,0.002091937,0.28731143,2.9083962e-05,0.05604256,0.0005131752,0.09881416,0.0,0.22571912,0.00076792465,0.010309884,5.54407e-05,0.053026266,1.551884e-05,0.031955983,0.3272657,0.020101216,0.003985081,0.1316268,0.019531459,0.15683958,0.003061431,0.00012546641,0.003597543,0.0013448141,0.00088255614,0.00820134,0.010558364,0.011786594,0.007560005,0.014990838
Screenshot 2025-04-28 211458_1_0.png,0.28583765,0.0,0.0,0.08330478,0.19063434,0.0010388567,0.0,0.12200225,0.00015953506,0.09410931,0.0019627137,0.000113574955,0.0,0.008148212,0.17516819,0.0,0.32635802,0.018482307,0.0,6.715562e-05,5.3514726e-05,0.12980345,0.016576253,0.0027467615,0.019123577,0.0032183114,0.21780604,0.030280553,0.035026856,0.11903978,0.104150176,0.030911226,0.048934717,0.07754372,0.0015330834,0.2845046,1.1745358e-05,0.053544827,0.00043107924,0.09722081,0.0,0.22644693,0.002519798,0.009885669,5.840327e-05,0.052425724,6.1265484e-07,0.03312973,0.32201064,0.02050003,0.003951378,0.12871712,0.018114684,0.15310702,0.0033339616,0.00015499665,0.0045693503,0.0020797637,0.00082311936,0.008087145,0.01104725,0.011705231,0.0064152824,0.016509617
Screenshot 2025-04-28 211458_2_0.png,0.2956019,0.0,0.0,0.08357814,0.19181362,0.0011115198,0.0,0.124848746,5.9840666e-05,0.096471705,0.0019060681,5.125424e-05,0.0,0.0059578707,0.18298,0.0,0.3338983,0.01614118,0.0,7.0347196e-05,6.356486e-05,0.13918576,0.015700512,0.002934884,0.020057414,0.002917031,0.22039509,0.030679552,0.037659775,0.12354308,0.105988964,0.032540374,0.04859193,0.08154772,0.001214507,0.29008257,8.966235e-06,0.053172648,0.0007767177,0.102965385,0.0,0.23077486,0.0012821169,0.00816286,2.3154946e-05,0.051009193,0.0,0.030124228,0.33429337,0.021597028,0.0043348647,0.13458489,0.019405788,0.16109289,0.0030822353,0.00016743715,0.003848839,0.0012805974,0.000473432,0.007176521,0.01045192,0.013428382,0.0077035027,0.012778923
Screenshot 2025-04-28 211458_3_0.png,0.27495083,4.0503684e-05,0.0,0.08438846,0.18786326,0.0009326042,3.329052e-05,0.11590629,0.00018544923,0.093233086,0.002056214,0.00017927942,0.0,0.008208626,0.17335801,0.0,0.32155043,0.02159959,0.0,7.42006e-05,4.3217857e-05,0.12170048,0.020215545,0.0028922427,0.019333817,0.0034227795,0.2179482,0.030887635,0.033400506,0.11339573,0.10460448,0.030365616,0.048121534,0.073125474,0.0032388687,0.28192627,2.3577373e-05,0.054118823,0.0005857498,0.08994947,0.0,0.21676084,0.0015918375,0.010367046,0.000176662,0.053313233,1.6052834e-05,0.033097245,0.30864304,0.021367252,0.003973157,0.119518705,0.015089798,0.14294879,0.0028305023,0.00012991294,0.0040414035,0.001612108,0.00086104363,0.009808842,0.012166847,0.012542216,0.009634851,0.017137174
Screenshot 2025-04-28 211515_1_0.png,0.27220386,4.5279863e-05,0.0,0.084379934,0.18398038,0.00030159095,0.0,0.1157588,0.0006835478,0.09033983,0.0017983709,0.000320417,0.0,0.0072914967,0.17011464,0.0,0.3166078,0.021663029,0.0,3.501053e-05,4.012807e-05,0.12016088,0.017593881,0.002163182,0.017375696,0.0021292258,0.2125916,0.030061252,0.033937894,0.11558663,0.103008725,0.02816426,0.047729522,0.07214137,0.004964231,0.27726272,3.9690863e-06,0.05461693,0.00020504386,0.09158376,0.0,0.21786812,0.0024723974,0.007585464,0.00016344097,0.05378973,0.0,0.033669185,0.305736,0.015403679,0.0034290503,0.12231849,0.018008437,0.14609972,0.0020038297,9.6464726e-05,0.003974276,0.0013952398,0.001393736,0.0059241615,0.01026433,0.009785748,0.0076175234,0.018886277
